Test 1: 
create_table:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

wc_files:  Real time: 0.500000s, User Time: 0.480000s, System time: 0.010000s

wc_files:  Real time: 1.010000s, User Time: 0.950000s, System time: 0.060000s

wc_files:  Real time: 1.020000s, User Time: 0.970000s, System time: 0.050000s

wc_files:  Real time: 1.970000s, User Time: 1.900000s, System time: 0.070000s

Test 2: 
create_table:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

wc_files:  Real time: 0.490000s, User Time: 0.470000s, System time: 0.010000s

wc_files:  Real time: 0.500000s, User Time: 0.480000s, System time: 0.020000s

wc_files:  Real time: 0.500000s, User Time: 0.480000s, System time: 0.020000s

Test 3: 
create_table:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

wc_files:  Real time: 0.480000s, User Time: 0.450000s, System time: 0.030000s

wc_files:  Real time: 0.500000s, User Time: 0.490000s, System time: 0.010000s

wc_files:  Real time: 0.500000s, User Time: 0.480000s, System time: 0.020000s

remove_block:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

remove_block:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

remove_block:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

Test 4: 
create_table:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

wc_files:  Real time: 0.490000s, User Time: 0.480000s, System time: 0.010000s

remove_block:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

wc_files:  Real time: 0.500000s, User Time: 0.490000s, System time: 0.000000s

remove_block:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

wc_files:  Real time: 0.500000s, User Time: 0.480000s, System time: 0.020000s

remove_block:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

wc_files:  Real time: 0.980000s, User Time: 0.940000s, System time: 0.030000s

wc_files:  Real time: 1.070000s, User Time: 1.040000s, System time: 0.030000s

wc_files:  Real time: 0.990000s, User Time: 0.940000s, System time: 0.050000s

remove_block:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

remove_block:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

remove_block:  Real time: 0.000000s, User Time: 0.000000s, System time: 0.000000s

